Name,Tags,Files
RWTH Aachen,moodle,
Berlin University Alliance,"blackboard, lplus",
Universität Bonn,ilias,
Technische Universität Dresden,selma (prop / no test),
Universität Hamburg,open olat,
Karlsruher Institut für Technologie (KIT),ilias,
Universität Konstanz,ilias,
Universität München,"evasys, moodle",
Technische Universität München,"evasys, moodle",
Universität Tübingen,ilias,
